,AAPL,EBAY,NI,MNST,CPRT,ENPH,FAST,CNC,WRB
AAPL,1.0,0.3332016430886507,-0.08361730513860553,0.34252984317949536,-0.2842498850126446,0.5402712772490748,0.6453953325806928,0.14955475886389905,0.22347582594571674
EBAY,0.3332016430886507,1.0,-0.7284614047465975,-0.3181640432717854,0.26465688375113744,-0.2277908501546675,0.05386142715981745,-0.5238480402779023,-0.15674270392604653
NI,-0.08361730513860553,-0.7284614047465975,0.9999999999999997,0.7342016175014916,-0.3217072944401481,0.8919808693391018,0.01849692063679415,0.8965172694368566,0.24613288974519681
MNST,0.34252984317949536,-0.3181640432717854,0.7342016175014916,1.0,-0.5862404761152721,0.6771711857696426,0.2846993623395311,0.8556768321588472,0.09561099522008397
CPRT,-0.2842498850126446,0.26465688375113744,-0.3217072944401481,-0.5862404761152721,1.0,-0.536982508327775,0.17269100946924157,-0.6477054939277577,0.5938863946548103
ENPH,0.5402712772490748,-0.2277908501546675,0.8919808693391018,0.6771711857696426,-0.536982508327775,1.0,-0.008779103421131569,1.0534477885548508,0.032672016456176
FAST,0.6453953325806928,0.05386142715981745,0.01849692063679415,0.2846993623395311,0.17269100946924157,-0.008779103421131569,1.0,-0.07265004134417916,0.5544784897577268
CNC,0.14955475886389905,-0.5238480402779023,0.8965172694368566,0.8556768321588472,-0.6477054939277577,1.0534477885548508,-0.07265004134417916,1.0,-0.020742516478274825
WRB,0.22347582594571674,-0.15674270392604653,0.24613288974519681,0.09561099522008397,0.5938863946548103,0.032672016456176,0.5544784897577268,-0.020742516478274825,1.0
